Year,State,Vaccine,Coverage
2021,AP,Tríplice Viral D1,64.18
2022,AP,Tríplice Viral D1,61.33
2018,TO,Tríplice Viral D1,91.21
2019,TO,Tríplice Viral D1,91.07
2020,TO,Tríplice Viral D1,82.48
2021,TO,Tríplice Viral D1,80.47
2022,TO,Tríplice Viral D1,82.89
2018,MA,Tríplice Viral D1,84.04
2019,MA,Tríplice Viral D1,87.05
2020,MA,Tríplice Viral D1,64.27
2021,MA,Tríplice Viral D1,63.26
2022,MA,Tríplice Viral D1,73.18
2018,PI,Tríplice Viral D1,87.79
2019,PI,Tríplice Viral D1,89.01
2020,PI,Tríplice Viral D1,78.47
2021,PI,Tríplice Viral D1,74.99
2022,PI,Tríplice Viral D1,82.84
2018,CE,Tríplice Viral D1,111.46
2019,CE,Tríplice Viral D1,103.02
2020,CE,Tríplice Viral D1,91.75
2021,CE,Tríplice Viral D1,74.49
2022,CE,Tríplice Viral D1,89.01
2018,RN,Tríplice Viral D1,88.7
2019,RN,Tríplice Viral D1,93.73
2020,RN,Tríplice Viral D1,79.02
2021,RN,Tríplice Viral D1,72.58
2022,RN,Tríplice Viral D1,79.86
2018,PB,Tríplice Viral D1,96.73
2019,PB,Tríplice Viral D1,105.74
2020,PB,Tríplice Viral D1,80.38
2021,PB,Tríplice Viral D1,70.92
2022,PB,Tríplice Viral D1,78.45
2018,PE,Tríplice Viral D1,104.72
2019,PE,Tríplice Viral D1,101.0
2020,PE,Tríplice Viral D1,79.18
2021,PE,Tríplice Viral D1,72.02
2022,PE,Tríplice Viral D1,80.34
2018,AL,Tríplice Viral D1,107.18
2019,AL,Tríplice Viral D1,106.22
2020,AL,Tríplice Viral D1,82.56
2021,AL,Tríplice Viral D1,77.68
2022,AL,Tríplice Viral D1,89.74
2018,SE,Tríplice Viral D1,95.47
2019,SE,Tríplice Viral D1,90.99
2020,SE,Tríplice Viral D1,76.21
2021,SE,Tríplice Viral D1,76.52
2022,SE,Tríplice Viral D1,84.31
2018,BA,Tríplice Viral D1,82.3
2019,BA,Tríplice Viral D1,84.65
2020,BA,Tríplice Viral D1,79.72
2021,BA,Tríplice Viral D1,66.3
2022,BA,Tríplice Viral D1,75.87
2018,MG,Tríplice Viral D1,97.52
2019,MG,Tríplice Viral D1,96.97
2020,MG,Tríplice Viral D1,93.11
2021,MG,Tríplice Viral D1,82.25
2022,MG,Tríplice Viral D1,87.11
2018,ES,Tríplice Viral D1,95.47
2019,ES,Tríplice Viral D1,95.01
2020,ES,Tríplice Viral D1,87.81
2021,ES,Tríplice Viral D1,80.79
2022,ES,Tríplice Viral D1,77.73
2018,RJ,Tríplice Viral D1,99.66
2019,RJ,Tríplice Viral D1,96.58
2020,RJ,Tríplice Viral D1,61.61
2021,RJ,Tríplice Viral D1,59.48
2022,RJ,Tríplice Viral D1,66.74
2018,SP,Tríplice Viral D1,91.46
2019,SP,Tríplice Viral D1,91.8
2020,SP,Tríplice Viral D1,86.83
2021,SP,Tríplice Viral D1,77.85
2022,SP,Tríplice Viral D1,78.42
2018,PR,Tríplice Viral D1,89.78
2019,PR,Tríplice Viral D1,91.99
2020,PR,Tríplice Viral D1,86.15
2021,PR,Tríplice Viral D1,86.54
2022,PR,Tríplice Viral D1,90.1
2018,SC,Tríplice Viral D1,92.12
2019,SC,Tríplice Viral D1,95.82
2020,SC,Tríplice Viral D1,87.55
2021,SC,Tríplice Viral D1,87.52
2022,SC,Tríplice Viral D1,94.94
2018,RS,Tríplice Viral D1,88.72
2019,RS,Tríplice Viral D1,91.23
2020,RS,Tríplice Viral D1,86.08
2021,RS,Tríplice Viral D1,79.88
2022,RS,Tríplice Viral D1,88.48
2018,MS,Tríplice Viral D1,104.53
2019,MS,Tríplice Viral D1,104.88
2020,MS,Tríplice Viral D1,81.12
2021,MS,Tríplice Viral D1,78.12
2022,MS,Tríplice Viral D1,91.83
2018,MT,Tríplice Viral D1,89.77
2019,MT,Tríplice Viral D1,89.91
2020,MT,Tríplice Viral D1,82.87
2021,MT,Tríplice Viral D1,80.88
2022,MT,Tríplice Viral D1,87.06
2018,GO,Tríplice Viral D1,87.81
2019,GO,Tríplice Viral D1,88.39
2020,GO,Tríplice Viral D1,76.57
2021,GO,Tríplice Viral D1,79.53
2022,GO,Tríplice Viral D1,82.35
2018,DF,Tríplice Viral D1,86.32
2019,DF,Tríplice Viral D1,85.71
2020,DF,Tríplice Viral D1,82.21
2021,DF,Tríplice Viral D1,83.21
2022,DF,Tríplice Viral D1,90.23
2018,RO,Tríplice Viral D2,78.87
2019,RO,Tríplice Viral D2,82.25
2020,RO,Tríplice Viral D2,64.44
2021,RO,Tríplice Viral D2,42.14
2022,RO,Tríplice Viral D2,48.34
2018,AC,Tríplice Viral D2,71.92
2019,AC,Tríplice Viral D2,78.65
2020,AC,Tríplice Viral D2,41.58
2021,AC,Tríplice Viral D2,25.95
2022,AC,Tríplice Viral D2,37.33
2018,AM,Tríplice Viral D2,78.0
2019,AM,Tríplice Viral D2,82.29
2020,AM,Tríplice Viral D2,52.17
2021,AM,Tríplice Viral D2,44.7
2022,AM,Tríplice Viral D2,48.78
2018,RR,Tríplice Viral D2,88.27
2019,RR,Tríplice Viral D2,86.72
2020,RR,Tríplice Viral D2,65.41
2021,RR,Tríplice Viral D2,35.51
2022,RR,Tríplice Viral D2,38.11
2018,PA,Tríplice Viral D2,59.97
2019,PA,Tríplice Viral D2,71.34
2020,PA,Tríplice Viral D2,54.79
2021,PA,Tríplice Viral D2,27.72
2022,PA,Tríplice Viral D2,30.19
2018,AP,Tríplice Viral D2,63.88
2019,AP,Tríplice Viral D2,74.28
2020,AP,Tríplice Viral D2,37.54
2021,AP,Tríplice Viral D2,34.7
2022,AP,Tríplice Viral D2,35.41
2018,TO,Tríplice Viral D2,78.86
2019,TO,Tríplice Viral D2,84.71
2020,TO,Tríplice Viral D2,68.52
2021,TO,Tríplice Viral D2,50.51
2022,TO,Tríplice Viral D2,50.39
2018,MA,Tríplice Viral D2,56.88
2019,MA,Tríplice Viral D2,65.87
2020,MA,Tríplice Viral D2,45.73
2021,MA,Tríplice Viral D2,39.94
2022,MA,Tríplice Viral D2,46.94
2018,PI,Tríplice Viral D2,69.17
2019,PI,Tríplice Viral D2,74.48
2020,PI,Tríplice Viral D2,53.25
2021,PI,Tríplice Viral D2,48.76
2022,PI,Tríplice Viral D2,53.23
2018,CE,Tríplice Viral D2,87.14
2019,CE,Tríplice Viral D2,86.7
2020,CE,Tríplice Viral D2,73.36
2021,CE,Tríplice Viral D2,55.18
2022,CE,Tríplice Viral D2,66.26
2018,RN,Tríplice Viral D2,64.49
2019,RN,Tríplice Viral D2,74.4
2020,RN,Tríplice Viral D2,56.09
2021,RN,Tríplice Viral D2,45.1
2022,RN,Tríplice Viral D2,46.5
2018,PB,Tríplice Viral D2,72.18
2019,PB,Tríplice Viral D2,87.79
2020,PB,Tríplice Viral D2,55.29
2021,PB,Tríplice Viral D2,44.24
2022,PB,Tríplice Viral D2,53.09
2018,PE,Tríplice Viral D2,69.54
2019,PE,Tríplice Viral D2,81.45
2020,PE,Tríplice Viral D2,53.82
2021,PE,Tríplice Viral D2,44.95
2022,PE,Tríplice Viral D2,51.17
2018,AL,Tríplice Viral D2,72.09
2019,AL,Tríplice Viral D2,74.53
2020,AL,Tríplice Viral D2,55.5
2021,AL,Tríplice Viral D2,50.27
2022,AL,Tríplice Viral D2,61.25
2018,SE,Tríplice Viral D2,71.93
2019,SE,Tríplice Viral D2,74.98
2020,SE,Tríplice Viral D2,61.52
2021,SE,Tríplice Viral D2,61.33
2022,SE,Tríplice Viral D2,62.25
2018,BA,Tríplice Viral D2,65.06
2019,BA,Tríplice Viral D2,70.5
2020,BA,Tríplice Viral D2,55.54
2021,BA,Tríplice Viral D2,45.31
2022,BA,Tríplice Viral D2,52.71
2018,MG,Tríplice Viral D2,85.03
2019,MG,Tríplice Viral D2,87.58
2020,MG,Tríplice Viral D2,77.12
2021,MG,Tríplice Viral D2,67.23
2022,MG,Tríplice Viral D2,68.27
2018,ES,Tríplice Viral D2,79.5
2019,ES,Tríplice Viral D2,87.45
2020,ES,Tríplice Viral D2,71.16
2021,ES,Tríplice Viral D2,64.92
2022,ES,Tríplice Viral D2,64.6
2018,RJ,Tríplice Viral D2,70.18
2019,RJ,Tríplice Viral D2,77.24
2020,RJ,Tríplice Viral D2,41.25
2021,RJ,Tríplice Viral D2,40.31
2022,RJ,Tríplice Viral D2,50.49
2018,SP,Tríplice Viral D2,81.84
2019,SP,Tríplice Viral D2,82.5
2020,SP,Tríplice Viral D2,68.5
2021,SP,Tríplice Viral D2,64.16
2022,SP,Tríplice Viral D2,65.15
2018,PR,Tríplice Viral D2,86.23
2019,PR,Tríplice Viral D2,90.67
2020,PR,Tríplice Viral D2,80.79
2021,PR,Tríplice Viral D2,67.36
2022,PR,Tríplice Viral D2,68.59
2018,SC,Tríplice Viral D2,83.42
2019,SC,Tríplice Viral D2,93.34
2020,SC,Tríplice Viral D2,85.68
2021,SC,Tríplice Viral D2,69.61
2022,SC,Tríplice Viral D2,72.35
